,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,company_size,age_class
301,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Male,United Kingdom,,United Kingdom,,Support,Always,5,3
302,0,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,2,Maybe,No,Yes,Yes,No,No,1,Maybe,Maybe,"No, I don't think it would","No, they do not",Somewhat open,Yes,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,24,Male,United Kingdom,,United Kingdom,,Full track,Sometimes,6,2
303,0,0.0,0.0,No,I am not sure,No,No,I don't know,5,Maybe,Maybe,Maybe,Maybe,No,Yes,0,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Yes,Yes,No,Maybe,No,Yes,0,Sometimes,Sometimes,56,Male,Australia,,Australia,,DevOps/SysAdmin,Sometimes,1,5
305,0,1.0,1.0,I don't know,I am not sure,No,I don't know,Yes,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,Spain,,United States of America,New York,Back-end Developer,Always,4,3
306,0,1.0,1.0,No,No,I don't know,No,I don't know,4,Maybe,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,Maybe,Yes,Yes,No,Yes,1,Sometimes,Often,21,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin|Front-end Developer|Back-end Developer|Support,Never,1,2
307,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,1,No,No,Maybe,Maybe,Yes,No,1,No,No,"Yes, I think it would",Maybe,Very open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,Russia,,Russia,,Dev Evangelist/Advocate,Sometimes,5,3
310,0,1.0,1.0,I don't know,No,No,Yes,I don't know,3,Maybe,No,No,Maybe,Yes,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,No,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Female,United Kingdom,,United Kingdom,,Back-end Developer,Never,2,3
312,0,1.0,1.0,Yes,I am not sure,Yes,No,I don't know,1,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Sometimes,4,3
313,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,3,Maybe,Maybe,Maybe,Maybe,Yes,No,1,Maybe,No,Maybe,"No, I don't think they would",Not open at all,No,Maybe,Yes,Yes,Yes,Yes,1,Never,Rarely,35,Male,United States of America,Illinois,United States of America,Illinois,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always,2,3
314,0,1.0,1.0,No,I am not sure,Yes,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Norway,,Norway,,Executive Leadership,Sometimes,3,3
316,0,0.0,0.0,I don't know,No,No,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,36,Male,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead,Sometimes,3,3
317,0,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,4,Maybe,No,Maybe,Maybe,Yes,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,Yes,Yes,No,Yes,1,Never,Sometimes,50,Male,United States of America,Minnesota,United States of America,Minnesota,Back-end Developer,Sometimes,3,5
318,0,1.0,1.0,I don't know,I am not sure,No,No,Yes,1,No,No,Maybe,Yes,I don't know,No,0,No,No,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Rarely,31,Male,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead,Sometimes,2,3
319,0,1.0,1.0,Yes,Yes,No,No,I don't know,0,Maybe,Maybe,Yes,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,Maybe,Yes,Yes,No,Yes,1,Sometimes,Often,47,Male,United States of America,Vermont,United States of America,Vermont,Dev Evangelist/Advocate|Back-end Developer,Never,4,4
320,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,5,Maybe,Maybe,Maybe,No,I don't know,Yes,1,No,No,"Yes, I think it would",Maybe,Somewhat open,Maybe,Maybe,No,No,No,No,1,Not applicable to me,Not applicable to me,32,Female,Canada,,Canada,,Front-end Developer|Back-end Developer|Supervisor/Team Lead,Never,2,3
321,0,1.0,1.0,Yes,Yes,No,No,Yes,2,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,No,Yes,Yes,1,Sometimes,Often,23,Female,Canada,,Canada,,Designer,Never,3,2
322,0,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,4,Maybe,No,Yes,Yes,Yes,No,1,Maybe,No,"Yes, I think it would",Maybe,Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,43,Female,Canada,,Canada,,Sales,Sometimes,2,4
323,0,1.0,1.0,Yes,Yes,No,No,I don't know,3,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Yes,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Female,Canada,,Canada,,Designer,Sometimes,2,2
324,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,0,No,No,Maybe,Maybe,I don't know,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Maybe,Maybe,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,26,Female,Canada,,Canada,,Other,Never,3,2
325,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,Yes,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,55,Female,Canada,,Canada,,Executive Leadership,Sometimes,2,5
326,0,1.0,1.0,Yes,No,Yes,No,I don't know,3,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,No,Yes,Yes,Yes,1,Often,Often,27,Male,Canada,,Canada,,Other,Never,2,2
327,0,1.0,1.0,Not eligible for coverage / N/A,No,No,I don't know,I don't know,4,Maybe,No,No,No,I don't know,No,1,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,No,Yes,No,No,No,1,Not applicable to me,Not applicable to me,34,Male,Argentina,,Argentina,,Other,Always,4,3
328,0,1.0,1.0,No,I am not sure,No,No,I don't know,4,Yes,Maybe,No,No,I don't know,No,0,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Maybe,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,India,,India,,Back-end Developer,Never,3,2
329,0,0.0,0.0,I don't know,No,No,I don't know,I don't know,4,Yes,No,Maybe,Yes,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Indiana,United States of America,Indiana,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,3,3
331,0,1.0,1.0,Yes,I am not sure,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,No,Maybe,Maybe,Somewhat not open,Yes,Maybe,I don't know,Yes,Yes,Yes,1,Rarely,Often,38,Female,United States of America,Illinois,United States of America,Illinois,Other,Sometimes,3,3
332,0,1.0,1.0,Yes,No,No,No,I don't know,5,Yes,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Maybe,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,29,Male,Canada,,Canada,,Front-end Developer,Never,3,2
333,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,Maybe,No,Yes,Maybe,Yes,No,0,Yes,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,Yes,Maybe,Maybe,No,1,Sometimes,Often,28,Male,United Kingdom,,United Kingdom,,Designer,Always,5,2
334,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Very open,Maybe,No,Yes,Yes,Maybe,Yes,1,Sometimes,Often,29,Male,United Kingdom,,United States of America,Washington,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always,2,2
335,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,2,No,No,Maybe,Yes,No,No,1,Yes,Yes,"No, I don't think it would",Maybe,Somewhat not open,Yes,Maybe,Yes,Maybe,Maybe,No,0,Rarely,Often,40,Male,United States of America,New York,United States of America,New York,Dev Evangelist/Advocate,Always,6,4
336,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,0,Yes,Maybe,"No, it has not","No, they do not",Somewhat open,Maybe,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,25,Female,United States of America,Michigan,United States of America,Michigan,Front-end Developer|Supervisor/Team Lead,Sometimes,3,2
338,0,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,Yes,No,Yes,Yes,Yes,Yes,0,Rarely,Often,29,Female,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes,3,2
339,0,1.0,1.0,Yes,Yes,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,"No, it has not","No, I don't think they would",Very open,No,Maybe,No,Yes,Yes,Yes,1,Rarely,Sometimes,35,Male,Netherlands,,Netherlands,,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer|Front-end Developer,Sometimes,1,3
341,0,1.0,1.0,No,Yes,No,No,I don't know,4,No,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,43,Male,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin,Sometimes,3,4
342,0,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Yes,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,26,Male,Ireland,,Ireland,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,2,2
343,0,1.0,1.0,I don't know,No,No,No,I don't know,1,No,No,No,No,I don't know,No,1,No,No,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe,No,No,No,Maybe,No,1,Not applicable to me,Sometimes,31,Male,Germany,,Germany,,Back-end Developer,Never,4,3
344,0,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,Maybe,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,United States of America,Illinois,United States of America,Illinois,Other,Always,4,3
345,0,0.0,0.0,I don't know,No,No,No,I don't know,4,Maybe,No,No,Yes,No,No,1,Maybe,No,"Yes, it has",Maybe,Somewhat not open,Yes,Yes,I don't know,Yes,Yes,Yes,1,Never,Sometimes,45,Female,United States of America,Texas,United States of America,Texas,DevOps/SysAdmin|Back-end Developer,Always,6,4
346,0,1.0,1.0,No,No,No,No,No,2,Maybe,No,No,No,I don't know,No,0,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe,Maybe,I don't know,No,Maybe,No,0,Not applicable to me,Not applicable to me,23,Male,Italy,,Italy,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,6,2
347,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Rhode Island,United States of America,Rhode Island,Supervisor/Team Lead,Never,2,3
348,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,United States of America,Illinois,United States of America,Illinois,Other,Sometimes,3,2
349,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,1,Maybe,No,Yes,Yes,I don't know,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Yes,No,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Male,United States of America,Illinois,United States of America,Illinois,Full track,Sometimes,4,2
350,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,No,Maybe,Maybe,No,No,1,No,No,Maybe,"Yes, I think they would",Neutral,No,Maybe,No,No,Maybe,No,0,Not applicable to me,Often,36,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Dev Evangelist/Advocate|DevOps/SysAdmin,Always,5,3
351,0,1.0,1.0,I don't know,No,No,No,I don't know,4,Maybe,No,Maybe,No,No,No,0,Maybe,No,"Yes, I think it would",Maybe,Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,Germany,,Germany,,Back-end Developer,Never,4,2
352,0,1.0,1.0,Yes,I am not sure,No,I don't know,No,3,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,"Yes, it has",Maybe,Somewhat open,Yes,Maybe,I don't know,Maybe,No,No,1,Sometimes,Sometimes,51,Male,United States of America,California,United States of America,California,Support|Back-end Developer|Front-end Developer,Never,1,5
355,0,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,4,No,No,Yes,Yes,I don't know,No,1,No,No,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Male,United States of America,Kansas,United States of America,Kansas,DevOps/SysAdmin|Support,Sometimes,6,2
356,0,1.0,1.0,I don't know,No,No,Yes,Yes,0,Yes,Maybe,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,United States of America,Illinois,United States of America,Illinois,Dev Evangelist/Advocate|Back-end Developer|Designer|Front-end Developer,Always,4,4
357,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Very open,Maybe,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Female,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Back-end Developer,Sometimes,3,3
358,0,1.0,1.0,Yes,Yes,No,No,I don't know,4,Yes,No,No,No,No,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Male,United States of America,California,United States of America,California,Supervisor/Team Lead,Never,4,3
359,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,0,Yes,Maybe,No,Maybe,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Yes,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,29,Male,United States of America,Michigan,United States of America,California,Back-end Developer,Always,4,2
361,0,1.0,1.0,Yes,No,No,I don't know,I don't know,2,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Oregon,United States of America,Oregon,Back-end Developer,Always,5,3
362,0,1.0,1.0,No,No,No,No,I don't know,4,Yes,No,Maybe,Maybe,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Vermont,United States of America,Vermont,Other,Sometimes,4,4
363,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Maybe,Maybe,No,No,1,No,No,"No, it has not","No, they do not",Somewhat open,No,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,26,Male,United States of America,Texas,United States of America,Texas,Other|Dev Evangelist/Advocate|Sales|Back-end Developer|Front-end Developer,Sometimes,4,2
364,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe,"No, I don't think they would",Very open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,United States of America,Maryland,United States of America,Maryland,DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead|Executive Leadership,Always,4,4
365,0,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,"No, I don't think they would",Somewhat not open,Maybe,Maybe,No,Yes,No,No,0,Not applicable to me,Not applicable to me,28,Female,United States of America,New York,United States of America,New York,Support,Always,4,2
366,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,0,Maybe,No,Yes,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,United Kingdom,,United Kingdom,,One-person shop,Sometimes,2,2
367,0,1.0,1.0,Yes,No,Yes,Yes,I don't know,0,Maybe,Yes,Yes,Maybe,Yes,No,1,Yes,Yes,Maybe,Maybe,Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,39,Female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,4,3
368,0,1.0,1.0,Yes,I am not sure,No,No,Yes,2,Maybe,Maybe,Maybe,Maybe,Yes,No,1,No,No,"No, it has not",Maybe,Very open,No,Maybe,No,Yes,No,Yes,1,Rarely,Rarely,34,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer,Sometimes,2,3
369,0,1.0,1.0,I don't know,No,No,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,28,Female,United States of America,Pennsylvania,United States of America,Pennsylvania,Support|Back-end Developer,Always,3,2
370,0,1.0,1.0,Yes,Yes,I don't know,I don't know,Yes,2,Maybe,Maybe,Maybe,Yes,Yes,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Yes,Yes,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,35,Female,United States of America,California,United States of America,California,Supervisor/Team Lead,Sometimes,5,3
371,0,1.0,1.0,I don't know,I am not sure,No,No,Yes,3,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,Canada,,Canada,,HR|Supervisor/Team Lead|Executive Leadership,Sometimes,2,4
372,0,1.0,1.0,Yes,No,No,I don't know,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,99,Genderqueer/Other,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead,Sometimes,2,5
375,0,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Canada,,Canada,,Full track,Always,3,2
376,0,1.0,1.0,I don't know,No,Yes,No,I don't know,1,Maybe,No,No,No,Yes,No,0,No,No,Maybe,"No, they do not",Somewhat not open,No,Maybe,No,Maybe,No,No,0,Never,Rarely,22,Female,Russia,,Russia,,Other,Sometimes,5,2
377,0,1.0,1.0,Yes,Yes,No,Yes,Yes,3,Yes,Maybe,Maybe,Maybe,No,No,1,Maybe,No,"Yes, it has","Yes, they do",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,28,Female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,3,2
379,0,0.0,0.0,Yes,I am not sure,Yes,Yes,Yes,0,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,No,"No, I don't think it would",Maybe,Somewhat open,Yes,Maybe,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,21,Female,Australia,,Australia,,Other,Never,6,2
380,0,1.0,1.0,No,No,No,No,No,2,Yes,Maybe,Yes,Maybe,No,Yes,1,Yes,Yes,"Yes, it has",Maybe,Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Male,Netherlands,,Netherlands,,Back-end Developer,Never,3,3
381,0,0.0,0.0,Yes,Yes,Yes,Yes,I don't know,2,No,No,Maybe,Yes,Yes,No,1,Maybe,No,"Yes, I think it would",Maybe,Very open,Maybe,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,United States of America,California,United States of America,California,DevOps/SysAdmin,Sometimes,6,3
382,0,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Yes,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,Yes,Yes,Yes,No,1,Rarely,Sometimes,28,Female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,4,2
383,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat open,Yes,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Sometimes,3,3
384,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,4,Yes,Maybe,No,No,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,24,Female,Australia,,Australia,,Front-end Developer,Sometimes,1,2
385,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,Maybe,No,Maybe,No,No,No,1,Maybe,No,Maybe,"Yes, I think they would",Somewhat open,Maybe,Maybe,Yes,Yes,Maybe,Yes,1,Sometimes,Often,35,Male,United States of America,California,United States of America,California,Other,Always,5,3
388,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Yes,Yes,Maybe,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Female,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes,6,2
389,0,1.0,1.0,Yes,Yes,No,I don't know,I don't know,1,No,No,Yes,Yes,I don't know,No,1,Yes,No,"No, it has not",Maybe,Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Sometimes,4,3
390,0,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,0,Yes,Yes,No,No,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,No,No,No,No,No,0,Never,Often,47,Female,United States of America,California,United States of America,California,Sales,Sometimes,4,4
391,0,1.0,1.0,Yes,I am not sure,I don't know,Yes,Yes,2,Maybe,No,No,No,I don't know,No,0,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Female,United States of America,Washington,United States of America,Washington,Front-end Developer,Never,6,2
392,0,1.0,1.0,Yes,Yes,No,I don't know,I don't know,2,No,No,No,Yes,Yes,No,1,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,32,Male,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin|Supervisor/Team Lead,Always,4,3
393,0,1.0,1.0,I don't know,No,No,Yes,I don't know,3,Maybe,No,No,Maybe,I don't know,Yes,1,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Yes,Yes,Yes,No,Maybe,No,0,Sometimes,Sometimes,32,Male,United States of America,California,United States of America,California,Back-end Developer,Sometimes,4,3
394,0,1.0,1.0,I don't know,No,I don't know,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,1,No,Yes,"No, it has not","No, they do not",Very open,No,Maybe,I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,37,Male,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Always,5,3
396,0,1.0,1.0,No,I am not sure,No,No,I don't know,2,No,No,No,Maybe,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,Yes,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,28,Female,United Kingdom,,United Kingdom,,Sales,Sometimes,2,2
397,0,1.0,1.0,I don't know,No,Yes,I don't know,Yes,2,Maybe,Maybe,Maybe,No,Yes,No,0,Yes,No,Maybe,"Yes, I think they would",Somewhat not open,No,Maybe,No,No,No,No,1,Not applicable to me,Not applicable to me,22,Male,Netherlands,,Netherlands,,Back-end Developer,Never,3,2
398,0,1.0,1.0,I don't know,I am not sure,Yes,Yes,I don't know,2,No,Maybe,Maybe,Maybe,Yes,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,No,1,Never,Rarely,30,Male,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Sometimes,5,3
